--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player▲,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player▲-additional
1,Andy Abad*,30,BOS,AL,-0.3,9,19,17,1,2,0,0,0,0,0,1,2,5,.118,.211,.118,.328,-11,.144,-23,2,1,0,0,0,0,/3H9,,abadan01
2,Brent Abernathy,25,2TM,AL,-0.8,12,37,34,3,2,0,0,0,0,1,0,1,3,.059,.086,.059,.145,-61,.076,-103,2,2,0,2,0,0,4/H,,abernbr01
3,Bobby Abreu*,29,PHI,NL,5.4,158,695,577,99,173,35,1,20,101,22,9,109,126,.300,.409,.468,.877,136,.392,141,270,13,2,0,7,13,*9,MVP-27,abreubo01
4,José Acevedo,25,CIN,NL,-0.1,5,11,9,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,.101,-107,0,1,0,2,0,0,/1,,acevejo01
5,Juan Acevedo,33,NYY,AL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,aceveju01
6,Terry Adams,30,PHI,NL,0.0,63,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-133,0,0,0,0,0,0,1,,adamste01
7,Jeremy Affeldt*,24,KCR,AL,0.1,3,7,6,0,2,0,0,0,2,0,0,1,1,.333,.429,.333,.762,100,.348,100,2,0,0,0,0,0,1,,affelje01
8,Kurt Ainsworth,24,SFG,NL,-0.3,12,26,22,0,1,0,0,0,0,0,0,0,7,.045,.045,.045,.091,-76,.083,-121,1,0,0,4,0,0,1/H,,ainswku01
9,Antonio Alfonseca,31,CHC,NL,0.0,54,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,1,0,0,1,,alfonan01
10,Edgardo Alfonzo,29,SFG,NL,0.3,142,586,514,56,133,25,2,13,81,5,2,58,41,.259,.334,.391,.726,90,.331,91,201,14,4,3,7,4,*5/4H,,alfoned01
11,Chad Allen,28,FLA,NL,0.0,12,25,24,2,5,1,1,0,0,0,0,0,5,.208,.240,.333,.573,49,.252,35,8,1,1,0,0,0,/7H98D,,allench01
12,Luke Allen*,24,COL,NL,,2,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-165,0,1,0,0,0,0,/H,,allenlu01
13,Armando Almanza*,30,FLA,NL,0.0,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,almanar01
14,Edwin Almonte,26,NYM,NL,0.0,12,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-142,0,1,0,0,0,0,1,,almoned01
15,Erick Almonte,25,NYY,AL,-0.4,31,111,100,17,26,6,0,1,11,1,0,8,24,.260,.321,.350,.671,79,.312,81,35,3,1,2,0,0,6,,almoner01
16,Héctor Almonte,27,2TM,2LG,0.0,32,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-142,0,0,0,0,0,0,1,,almonhe01
17,Roberto Alomar#,35,2TM,2LG,-0.1,140,598,516,76,133,28,2,5,39,12,2,59,77,.258,.333,.349,.682,80,.322,84,180,17,3,12,8,3,*4/H,,alomaro01
