Player,Predicted_WAR_2025
Tim Anderson,1.2149269615233222
Hunter Pence,0.8505234111721477
J.D. Davis,0.5396943237595756
Isiah Kiner-Falefa,1.8461394861636984
Isaac Paredes,2.6980604542830373
Raimel Tapia,0.8730049257593209
Matt Duffy,1.106340143973598
Ian Kinsler,1.115122784681925
Ian Happ,2.383557054902117
Ian Desmond,0.5354920191619388
Tim Beckham,0.46185599975725133
Hunter Renfroe,0.4818715752636723
Hunter Dozier,0.48100511113720484
Ryan Braun,0.827863741467919
Hernán Pérez,1.3314778733309804
Todd Frazier,1.5800443907547264
Harrison Bader,0.6703403564229228
Harold Ramírez,1.5155563782700199
Harold Castro,1.1859790671886712
Ha-Seong Kim,2.3025495088414205
Guillermo Heredia,0.472681046284334
Matt Kemp,1.0844112680754057
Gregory Polanco,0.7759332316822483
Tommy Edman,2.072513142131675
J.D. Martinez,1.3061489719790569
J.P. Crawford,1.867821447211479
J.T. Realmuto,2.108954408715382
Matt Chapman,4.195851206148259
Steve Pearce,0.7768861704505413
Steven Kwan,3.1020376835226533
Steven Souza Jr.,2.4085453892386117
James McCann,0.8909682121030503
Mark Reynolds,0.6332090440844997
Mark Trumbo,0.9615521062912536
Ryan McMahon,1.9819342007768963
Jake McCarthy,1.319338684234502
Jake Marisnick,1.5184612264967365
Jake Lamb,2.193201333937063
Jake Cronenworth,1.284535340674706
Martín Maldonado,0.5278136316094164
Jake Bauers,0.34586212796356053
Jacoby Ellsbury,1.2563889375805142
Taylor Ward,1.7331259919564224
Teoscar Hernández,2.6966736553346804
Jackie Bradley Jr.,1.2467510273371056
Matt Adams,1.3096507663937984
Jace Peterson,0.8888663796275962
Matt Carpenter,1.5094879861209733
Thairo Estrada,1.5729463361417786
Matt Olson,2.932236660092372
Gleyber Torres,2.1918032997085946
Jarred Kelenic,1.2738035071998328
Edwin Encarnación,1.41062692383992
Michael Conforto,0.6389239672382895
Eric Hosmer,0.8753150577421321
Michael Harris II,3.2690435619987603
Ender Inciarte,2.3351227288723115
Elvis Andrus,1.088671331130537
Eloy Jiménez,0.7309923435499225
Rowdy Tellez,0.7197813450393502
Elias Díaz,0.8262652087431033
Travis Shaw,2.205143761510975
Travis d'Arnaud,0.8454746390295432
Trea Turner,1.8055031706028057
Gio Urshela,0.9435530891789397
Eduardo Núñez,0.8369616147362309
Eduardo Escobar,0.6304645032830972
Kyle Seager,1.0149301304204554
Rosell Herrera,1.2457913657529218
Eddie Rosario,0.5427226753788175
Trent Grisham,2.3366523737605642
Dustin Pedroia,1.5386219797116503
Donovan Solano,0.9293911282472298
Dominic Smith,0.6706821392082748
Miguel Cabrera,0.5582531701089529
Erick Aybar,0.31657481418421246
Michael A. Taylor,1.1117071522133704
Melky Cabrera,0.5501583484391438
Eugenio Suárez,1.7637296740147308
Matt Vierling,1.6206359331362867
Giancarlo Stanton,1.0201378150031113
Gerardo Parra,0.6734634850209806
Geraldo Perdomo,2.712852331958633
Gavin Sheets,0.5543038508792081
Gavin Lux,2.3652524363663816
Gary Sánchez,0.9317579084843739
Garrett Cooper,0.6889162789677847
Tommy Pham,0.9492926827102771
Freddy Galvis,1.1577338721453436
Max Kepler,0.8494440892637809
Freddie Freeman,4.214495711534296
Franmil Reyes,1.5317224311104978
Francisco Lindor,4.190317896737861
Francisco Cervelli,1.2553267260783902
Max Muncy,2.4664936812005336
Fernando Tatis Jr.,3.1556311094453515
Russell Martin,0.9181872033906522
Tony Kemp,1.135686824711089
Evan Longoria,0.9408362507317656
Evan Gattis,1.188290180445537
Mark Canha,1.119618112391132
Marcus Semien,3.5697909869857876
Didi Gregorius,0.5745449820674013
José Abreu,1.306747266385776
Ryan Zimmerman,1.0702949531023729
Julio Rodríguez,3.4978591443177254
Logan Forsythe,0.4287280738350965
Juan Soto,5.309744136564609
Logan Morrison,1.055470851818542
José Ramírez,4.427156948620566
Lorenzo Cain,2.175242995671097
José Peraza,1.360588457784762
Lourdes Gurriel Jr.,1.1472217344228517
José Bautista,0.775146772456105
Sean Murphy,2.4857206431684102
Jose Siri,1.8962571907989223
Lucas Duda,0.41980798251828133
Josh Rojas,0.8850741505629897
Josh Reddick,1.2035902684645183
Seiya Suzuki,1.704625519817405
Josh Naylor,2.132711057112206
Ryan O'Hearn,0.7227127868284616
Seth Brown,0.2513981744754064
Josh Harrison,1.1696734405609381
Josh Donaldson,2.387445688854483
Josh Bell,0.6027945791727436
Jurickson Profar,1.783213503200755
Justin Bour,0.4073691137255829
Justin Smoak,2.003457362386946
Justin Turner,0.8166911590372663
Salvador Perez,1.196421312345748
Kyle Tucker,4.023622595410309
Kyle Farmer,0.8987060315154267
Kurt Suzuki,1.3161319061891634
Kris Bryant,1.7117756018949215
LaMonte Wade Jr.,1.0616353187270067
Kolten Wong,1.4786489802166667
Kole Calhoun,0.6427565306391935
Lane Thomas,1.565558596620871
Khris Davis,1.139956427788454
