--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player▲,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player▲-additional
1,Brent Abernathy,24,TBD,AL,-0.2,117,504,463,46,112,18,4,2,40,10,4,25,46,.242,.288,.311,.599,62,.281,62,144,8,6,8,2,0,*4/HD,,abernbr01
2,Bobby Abreu*,28,PHI,NL,5.8,157,685,572,102,176,50,6,20,85,31,12,104,117,.308,.413,.521,.934,151,.410,154,298,11,3,0,6,9,*98/H,,abreubo01
3,José Acevedo,24,CIN,NL,0.1,6,10,7,1,1,1,0,0,2,0,0,1,6,.143,.250,.286,.536,39,.246,8,2,0,0,2,0,0,/1,,acevejo01
4,Juan Acevedo,32,DET,AL,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,aceveju01
5,Terry Adams,29,PHI,NL,0.0,45,34,25,0,2,0,0,0,1,0,0,3,13,.080,.179,.080,.259,-27,.173,-42,2,1,0,6,0,0,1,,adamste01
6,Benny Agbayani,30,2TM,2LG,-0.3,61,171,154,15,35,6,0,4,27,1,0,16,40,.227,.298,.344,.642,62,.288,50,53,5,0,0,1,1,7H/98D,,agbaybe01
7,Kurt Ainsworth,23,SFG,NL,0.0,6,7,6,1,1,1,0,0,0,0,0,0,1,.167,.167,.333,.500,31,.211,-6,2,0,0,1,0,0,/1,,ainswku01
8,Israel Alcántara,29,MIL,NL,-0.3,16,32,32,3,8,1,0,2,5,0,1,0,6,.250,.250,.469,.719,86,.320,97,15,0,0,0,0,0,/H937,,alcanis01
9,Antonio Alfonseca,30,CHC,NL,0.1,64,3,3,0,2,0,0,0,2,0,0,0,0,.667,.667,.667,1.333,257,.598,288,2,0,0,0,0,0,1,,alfonan01
10,Edgardo Alfonzo,28,NYM,NL,5.0,135,562,490,78,151,26,0,16,56,6,0,62,55,.308,.391,.459,.851,128,.381,130,225,5,7,0,3,8,*5/H,,alfoned01
11,Luis Alicea#,36,KCR,AL,-0.1,94,273,237,28,54,8,2,1,23,2,3,32,34,.228,.322,.291,.613,59,.290,60,69,5,1,3,0,1,45HD/3679,,alicelu01
12,Chad Allen,27,CLE,AL,-0.1,5,11,10,0,1,1,0,0,0,0,0,0,2,.100,.100,.200,.300,-22,.216,10,2,1,0,1,0,0,/7H9,,allench01
13,Luke Allen*,23,LAD,NL,0.0,6,9,7,2,1,1,0,0,0,0,0,2,3,.143,.333,.286,.619,71,.298,75,2,0,0,0,0,0,/H9,,allenlu01
14,Armando Almanza*,29,FLA,NL,0.0,46,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,almanar01
15,Carlos Almánzar,28,CIN,NL,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,almanca01
16,Roberto Alomar#,34,NYM,NL,0.6,149,655,590,73,157,24,4,11,53,16,4,57,83,.266,.331,.376,.708,90,.331,93,222,12,1,6,1,4,*4/H,,alomaro01
17,Sandy Alomar,36,2TM,2LG,0.5,89,296,283,29,79,14,1,7,37,0,0,9,33,.279,.302,.410,.712,82,.318,79,116,11,1,1,2,0,2/H,,alomasa02
18,Moisés Alou,35,CHC,NL,0.3,132,534,484,50,133,23,1,15,61,8,0,47,61,.275,.337,.419,.757,100,.346,102,203,15,0,0,3,4,*7/H9D8,,aloumo01
19,Juan Alvarez*,28,TEX,AL,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,alvarju01
20,Tony Álvarez,23,PIT,NL,0.1,14,30,26,6,8,2,0,1,2,1,0,3,5,.308,.379,.500,.879,128,.394,130,13,0,0,1,0,0,/8H79,,alvarto01
