--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player▲,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player▲-additional
1,Jeff Abbott,27,CHW,AL,-0.3,80,242,215,31,59,15,1,3,29,2,1,21,38,.274,.343,.395,.738,86,.329,79,85,2,2,2,1,1,87H9/D,,abbotje01
2,Kurt Abbott,31,NYM,NL,-0.4,79,173,157,22,34,7,1,6,12,1,1,14,51,.217,.283,.389,.672,71,.288,57,61,2,1,0,1,2,6H4/58,,abbotku01
3,Paul Abbott,32,SEA,AL,0.1,2,6,5,1,2,1,0,0,0,0,0,0,1,.400,.400,.600,1.000,156,.430,167,3,0,0,1,0,0,1,,abbotpa01
4,Bobby Abreu*,26,PHI,NL,6.2,154,680,576,103,182,42,10,25,79,28,8,100,116,.316,.416,.554,.970,143,.425,145,319,12,1,0,3,9,*9/H,,abreubo01
5,Juan Acevedo,30,MIL,NL,0.0,60,2,1,1,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,44,.362,108,0,0,0,0,0,0,1,,aceveju01
6,Terry Adams,27,LAD,NL,0.0,63,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-264,0,0,0,1,0,0,1,,adamste01
7,Benny Agbayani,28,NYM,NL,2.0,119,415,350,59,101,19,1,15,60,5,5,54,68,.289,.391,.477,.868,122,.384,126,167,6,7,0,3,2,*7H9/8D,,agbaybe01
8,Rick Aguilera,38,CHC,NL,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,aguilri01
9,Israel Alcántara,27,BOS,AL,0.3,21,48,45,9,13,1,0,4,7,0,0,3,7,.289,.333,.578,.911,123,.402,128,26,0,0,0,0,0,/DH937,,alcanis01
10,Scott Aldred*,32,PHI,NL,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,aldresc01
11,Manny Alexander,29,BOS,AL,-0.7,101,209,194,30,41,4,3,4,19,2,0,13,41,.211,.261,.325,.586,46,.268,34,63,0,0,2,0,0,56H/4D,,alexama02
12,Antonio Alfonseca,28,FLA,NL,0.0,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,MVP-22,alfonan01
13,Edgardo Alfonzo,26,NYM,NL,6.4,150,650,544,109,176,40,2,25,94,3,2,95,70,.324,.425,.542,.967,147,.431,156,295,12,5,0,6,1,*4/DH,ASMVP-15,alfoned01
14,Luis Alicea#,34,TEX,AL,1.1,139,619,540,85,159,25,8,6,63,1,3,59,75,.294,.365,.404,.769,95,.348,95,218,13,5,7,7,1,*4/5DH6,,alicelu01
15,Chad Allen,25,MIN,AL,-0.1,15,55,50,2,15,3,0,0,7,0,2,3,14,.300,.345,.360,.705,77,.300,71,18,1,1,0,1,0,9/7,,allench01
16,Dusty Allen,27,2TM,2LG,0.1,27,32,28,5,7,2,0,2,2,0,0,4,12,.250,.344,.536,.879,125,.374,121,15,1,0,0,0,0,3/H759D,,allendu01
17,Armando Almanza*,27,FLA,NL,0.0,64,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-369,0,0,0,1,0,0,1,,almanar01
18,Carlos Almánzar,26,SDP,NL,-0.1,59,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-137,0,1,0,0,0,0,1,,almanca01
19,Roberto Alomar#,32,CLE,AL,5.6,155,697,610,111,189,40,2,19,89,39,4,64,82,.310,.378,.475,.853,114,.394,118,290,19,6,11,6,4,*4/H,ASGGSS,alomaro01
20,Sandy Alomar,34,CLE,AL,0.6,97,384,356,44,103,16,2,7,42,2,2,16,41,.289,.324,.404,.728,83,.330,82,144,9,4,4,4,1,2/HD,,alomasa02
21,Moisés Alou,33,HOU,NL,2.6,126,517,454,82,161,28,2,30,114,3,3,52,45,.355,.416,.623,1.039,151,.448,158,283,21,2,0,9,4,*97/HD,MVP-20,aloumo01
22,Clemente Álvarez,32,PHI,NL,-0.1,2,5,5,1,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,2,.180,-22,1,0,0,0,0,0,/2H,,alvarcl01
23,Gabe Álvarez,26,2TM,2LG,-0.3,12,17,14,1,2,1,0,0,0,0,1,3,2,.143,.294,.214,.508,36,.224,39,3,0,0,0,0,0,/H57D,,alvarga01
24,Rich Amaral,38,BAL,AL,-0.2,30,67,60,10,13,1,1,0,6,6,2,7,8,.217,.299,.267,.565,49,.285,53,16,6,0,0,0,0,8H/D973,,amarari01
