--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player▲,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player▲-additional
1,CJ Abrams*,23,WSN,NL,3.4,138,602,541,79,133,29,6,20,65,31,12,40,128,.246,.314,.433,.747,111,.324,108,234,4,16,1,4,3,*6/H,AS,abramcj01
2,José Abreu,37,HOU,AL,-1.7,35,120,113,10,14,2,0,2,7,0,0,4,28,.124,.167,.195,.361,4,.163,-5,22,4,2,0,1,0,3/H,,abreujo02
3,Wilyer Abreu*,25,BOS,AL,3.4,132,447,399,59,101,33,2,15,58,8,3,40,125,.253,.322,.459,.781,114,.339,112,183,7,3,0,5,0,*9H/78D,ROY-6GG,abreuwi02
4,Luisangel Acuña,22,NYM,NL,0.5,14,40,39,6,12,2,1,3,6,0,1,1,6,.308,.325,.641,.966,166,.387,165,25,1,0,0,0,0,6/DH4,,acunajo01
5,Ronald Acuña Jr.,26,ATL,NL,0.0,49,222,192,38,48,8,1,4,15,16,3,27,53,.250,.351,.365,.716,100,.343,110,70,4,3,0,0,0,9,,acunaro01
6,Willy Adames,28,MIL,NL,3.1,161,688,610,93,153,33,0,32,112,21,4,74,173,.251,.331,.462,.794,119,.348,117,282,12,1,0,3,3,*6,MVP-10,adamewi01
7,Jordyn Adams,24,LAA,AL,-0.2,11,38,35,4,8,0,0,1,4,2,0,3,12,.229,.289,.314,.604,71,.280,67,11,1,0,0,0,0,/987H,,adamsjo03
8,Riley Adams,28,WSN,NL,0.2,41,130,116,10,26,5,1,2,8,1,0,10,35,.224,.292,.336,.629,80,.292,84,39,4,2,0,2,1,2/DH,,adamsri03
9,Jo Adell,25,LAA,AL,0.9,130,451,405,54,84,15,2,20,62,15,10,35,126,.207,.280,.402,.682,90,.297,90,163,9,7,0,3,1,*9H/D8,,adelljo01
10,Ehire Adrianza#,34,LAA,AL,0.1,8,28,26,4,5,1,0,1,2,0,0,2,11,.192,.250,.346,.596,67,.255,58,9,1,0,0,0,0,/54H,,adriaeh01
11,Nick Ahmed,34,3TM,NL,-0.3,71,228,210,20,48,6,1,2,17,2,1,11,51,.229,.267,.295,.562,61,.254,61,62,6,1,3,3,0,6/H4,,ahmedni01
12,Ozzie Albies#,27,ATL,NL,1.6,99,435,399,52,100,29,1,10,53,8,1,27,65,.251,.303,.404,.707,94,.313,93,161,6,5,0,4,0,4,,albieoz01
13,Kevin Alcántara,21,CHC,NL,-0.2,3,10,10,1,1,0,0,0,0,0,0,0,1,.100,.100,.100,.200,-43,.080,-69,1,0,0,0,0,0,/9,,alcanke01
14,Blaze Alexander,25,ARI,NL,0.0,61,185,166,19,41,7,0,3,21,3,1,15,49,.247,.321,.343,.664,86,.301,87,57,1,3,1,0,0,64D/H5,,alexabl01
15,CJ Alexander*,27,KCR,AL,-0.2,4,8,8,0,1,0,0,0,0,0,0,0,3,.125,.125,.125,.250,-29,.112,-48,1,0,0,0,0,0,/5DH,,alexacj01
16,Nick Allen,25,OAK,AL,0.2,41,105,97,6,17,4,0,1,4,0,0,5,20,.175,.216,.247,.463,35,.215,33,24,0,0,3,0,0,6/5H4,,allenni02
17,Pete Alonso,29,NYM,NL,2.6,162,695,608,91,146,31,0,34,88,3,0,70,172,.240,.329,.459,.788,122,.341,122,279,14,13,0,4,4,*3/DH,AS,alonspe01
18,Jose Altuve,34,HOU,AL,3.4,153,682,628,94,185,31,0,20,65,22,7,47,119,.295,.350,.439,.790,127,.348,126,276,15,7,0,0,2,*4/DH,ASMVP-15SS,altuvjo01
19,Armando Alvarez,29,OAK,AL,-0.4,16,39,37,7,9,1,0,0,2,1,0,2,8,.243,.282,.270,.552,63,.252,57,10,1,0,0,0,0,/53H74,,alvarar01
