--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player▲,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player▲-additional
1,David Aardsma,25,CHW,AL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,aardsda01
2,Reggie Abercrombie,26,FLA,NL,0.1,35,80,76,16,15,3,0,2,5,7,1,2,22,.197,.238,.316,.553,44,.267,38,24,1,2,0,0,0,H8/79,,abercre01
3,Bobby Abreu*,33,NYY,AL,2.4,158,699,605,123,171,40,5,16,101,25,8,84,115,.283,.369,.445,.814,113,.364,112,269,11,3,0,7,0,*9/HD,MVP-17,abreubo01
4,Tony Abreu#,22,LAD,NL,1.0,59,178,166,19,45,14,1,2,17,0,0,7,21,.271,.309,.404,.713,82,.313,76,67,5,3,0,2,1,54H/6,,abreuto01
5,Winston Abreu,30,WSN,NL,0.0,24,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-138,0,0,0,0,0,0,1,,abreuwi01
6,Jeremy Accardo,25,TOR,AL,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,accarje01
7,Manny Acosta,26,ATL,NL,0.0,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,acostma01
8,Russ Adams*,26,TOR,AL,-0.4,27,69,60,14,14,3,0,2,12,2,1,7,14,.233,.313,.383,.697,83,.318,82,23,1,0,2,0,1,5H/D4,,adamsru01
9,Jon Adkins*,29,NYM,NL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,adkinjo01
10,Jeremy Affeldt*,28,COL,NL,0.0,72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,affelje01
11,Jonathan Albaladejo,24,WSN,NL,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,albaljo01
12,Matt Albers*,24,HOU,NL,-0.3,31,32,29,0,2,0,0,0,0,0,0,0,17,.069,.069,.069,.138,-64,.063,-122,2,0,0,3,0,0,1,,alberma01
13,Antonio Alfonseca,35,PHI,NL,0.0,60,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-150,0,0,0,0,0,0,1,,alfonan01
14,Eliézer Alfonzo,28,SFG,NL,0.0,26,67,64,5,16,2,1,1,6,0,2,2,23,.250,.284,.359,.643,65,.269,55,23,2,1,0,0,2,2H,,alfonel01
15,Sandy Alomar,41,NYM,NL,-0.1,8,22,22,1,3,1,0,0,0,0,0,0,3,.136,.136,.182,.318,-18,.139,-44,4,0,0,0,0,0,/2H,,alomasa02
16,Moisés Alou,40,NYM,NL,2.3,87,360,328,51,112,19,1,13,49,3,0,27,30,.341,.392,.524,.916,137,.395,137,172,13,2,0,3,5,7/H,,aloumo01
17,Chip Ambres,27,NYM,NL,0.0,3,3,3,0,1,0,0,0,1,0,0,0,1,.333,.333,.333,.667,75,.303,72,1,0,0,0,0,0,/H9,,ambrech01
18,Alfredo Amézaga#,29,FLA,NL,2.3,133,448,400,46,105,14,9,2,30,13,7,35,52,.263,.324,.358,.682,79,.312,80,143,4,4,4,5,0,8H654/397,,amezaal01
19,Brian Anderson,25,CHW,AL,-0.5,13,19,17,3,2,1,0,0,0,0,0,2,7,.118,.211,.176,.387,2,.190,-11,3,2,0,0,0,0,/7H8D,,anderbr03
20,Garret Anderson*,35,LAA,AL,1.8,108,450,417,67,124,31,1,16,80,1,0,27,54,.297,.336,.492,.827,114,.356,108,205,8,0,0,6,9,7D/H,,anderga01
21,Josh Anderson*,24,HOU,NL,0.0,21,75,67,10,24,3,0,0,11,1,1,5,6,.358,.413,.403,.816,113,.361,114,27,0,2,0,1,0,8/H79,,anderjo03
22,Marlon Anderson*,33,2TM,NL,0.7,66,106,95,17,28,7,0,3,27,4,1,8,17,.295,.343,.463,.806,107,.363,112,44,2,0,1,2,1,H7/38D49,,anderma02
23,Robert Andino,23,FLA,NL,0.0,7,13,13,0,5,1,0,0,0,0,0,0,2,.385,.385,.462,.846,121,.375,125,6,0,0,0,0,0,/H6,,andinro01
24,Rick Ankiel*,27,STL,NL,1.2,47,190,172,31,49,8,1,11,39,1,0,13,41,.285,.328,.535,.863,120,.363,113,92,3,0,1,4,0,98/H7,,ankieri01
25,Greg Aquino,29,MIL,NL,0.0,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,aquingr01
26,Alberto Árias,23,COL,NL,0.0,6,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-150,0,0,0,0,0,0,/1,,ariasal02
27,Tony Armas,29,PIT,NL,-0.2,29,28,26,0,3,1,0,0,2,0,0,0,12,.115,.115,.154,.269,-30,.118,-71,4,0,0,2,0,0,1,,armasto02
28,Bronson Arroyo,30,CIN,NL,0.0,33,79,70,5,10,2,0,1,3,0,0,2,30,.143,.178,.214,.392,0,.177,-34,15,1,1,6,0,0,1,,arroybr01
29,José Ascanio,22,ATL,NL,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,ascanjo01
30,Scott Atchison,31,SFG,NL,0.0,22,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-146,0,0,0,0,0,0,1,,atchisc01
31,Garrett Atkins,27,COL,NL,0.4,157,684,605,83,182,35,1,25,111,3,1,67,96,.301,.367,.486,.853,113,.370,111,294,16,2,0,10,3,*53/H,,atkinga01
32,Rich Aurilia,35,SFG,NL,0.2,99,358,329,40,83,19,2,5,33,0,0,22,45,.252,.304,.368,.672,73,.308,72,121,8,4,0,3,1,356H/4,,aurilri01
33,Brad Ausmus,38,HOU,NL,-0.3,117,397,349,38,82,16,3,3,25,6,1,37,74,.235,.318,.324,.642,67,.294,61,113,11,6,4,1,3,*2/3H54,,ausmubr01
34,Luis Ayala,29,WSN,NL,0.0,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,ayalalu01
35,Erick Aybar#,23,LAA,AL,-0.7,79,211,194,18,46,5,1,1,19,4,4,10,32,.237,.279,.289,.568,50,.249,36,56,8,2,3,2,0,4H6/79D5,,aybarer01
36,Brandon Backe,29,HOU,NL,0.3,7,11,10,5,4,1,0,1,1,0,0,1,3,.400,.455,.800,1.255,216,.523,227,8,0,0,0,0,0,/1H,,backebr01
37,Mike Bacsik*,29,WSN,NL,-0.1,27,34,29,1,3,1,0,0,1,0,0,1,6,.103,.133,.138,.271,-28,.126,-70,4,0,0,4,0,0,1,,bacsimi02
38,Cha-Seung Baek,27,SEA,AL,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-142,0,0,0,0,0,0,1,,baekch01
39,Danys Báez,29,BAL,AL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,baezda01
40,Homer Bailey,21,CIN,NL,0.1,8,12,11,3,3,1,0,0,2,0,0,0,5,.273,.273,.364,.636,60,.270,38,4,0,0,1,0,0,/1,,baileho02
41,Jeff Bailey,28,BOS,AL,-0.1,3,9,9,1,1,0,0,1,1,0,0,0,1,.111,.111,.444,.556,34,.221,8,4,0,0,0,0,0,/3H,,baileje01
42,Jeff Baker,26,COL,NL,-1.0,85,159,144,17,32,2,2,4,12,0,0,13,40,.222,.296,.347,.643,61,.291,55,50,7,2,0,0,1,H39/75D,,bakerje03
43,Scott Baker,25,MIN,AL,-0.1,2,6,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,1,,bakersc02
44,Paul Bako*,35,BAL,AL,-0.5,60,174,156,13,32,3,1,1,8,0,1,15,50,.205,.277,.256,.534,42,.250,35,40,4,1,1,1,0,2/H,,bakopa01
45,Rocco Baldelli,25,TBD,AL,0.1,35,150,137,16,28,6,0,5,12,4,1,9,35,.204,.268,.358,.626,65,.285,59,49,1,3,1,0,1,8D,,baldero01
46,Wladimir Balentien,22,SEA,AL,0.1,3,4,3,1,2,1,0,1,4,0,0,0,0,.667,.500,2.000,2.500,531,.810,429,6,0,0,0,1,0,/9H7,,balenwl01
47,Grant Balfour,29,MIL,NL,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,balfogr01
48,Brian Bannister,26,KCR,AL,0.1,2,4,3,0,1,0,0,0,0,0,0,0,1,.333,.500,.333,.833,126,.416,151,1,0,1,0,0,0,1,ROY-3,bannibr01
49,Rod Barajas,31,PHI,NL,-0.1,48,147,122,16,28,8,0,4,10,0,1,21,24,.230,.352,.393,.745,90,.324,83,48,5,2,1,0,3,2/H3,,barajro01
50,Josh Bard#,29,SDP,NL,0.9,118,443,389,42,111,27,2,5,51,0,1,50,58,.285,.364,.404,.768,108,.341,109,157,16,0,1,3,7,2H/D,,bardjo01
51,Brian Barden,26,2TM,NL,0.0,23,37,35,6,6,1,0,0,0,0,0,2,7,.171,.216,.200,.416,8,.242,25,7,2,0,0,0,0,H/654,,bardebr01
52,Josh Barfield,24,CLE,AL,-0.1,130,444,420,53,102,19,3,3,50,14,5,14,90,.243,.270,.324,.594,56,.271,47,136,3,3,3,4,0,*4H/D,,barfijo02
53,Sean Barker,27,COL,NL,0.0,3,3,2,0,0,0,0,0,0,0,0,0,1,.000,.333,.000,.333,-5,.247,25,0,0,1,0,0,0,/H78,,barkese01
54,Clint Barmes,28,COL,NL,-0.3,27,39,37,5,8,3,0,0,1,0,0,1,13,.216,.237,.297,.534,34,.219,-2,11,1,0,1,0,1,H/6485,,barmecl01
55,Daniel Barone,24,FLA,NL,-0.1,16,11,9,1,1,0,0,0,0,0,0,0,7,.111,.111,.111,.222,-41,.101,-108,1,0,0,2,0,0,1,,baronda01
56,Michael Barrett,30,2TM,NL,-0.9,101,367,344,29,84,17,0,9,41,2,2,19,57,.244,.281,.372,.653,68,.292,64,128,10,0,0,4,3,2/H,,barremi01
57,Kevin Barry,28,ATL,NL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,barryke01
58,Jason Bartlett,27,MIN,AL,4.6,140,570,510,75,135,20,7,5,43,23,3,50,73,.265,.339,.361,.699,89,.332,93,184,8,8,0,2,3,*6/H,,bartlja01
59,Daric Barton*,21,OAK,AL,1.3,18,84,72,16,25,9,0,4,8,1,0,10,11,.347,.429,.639,1.067,185,.454,182,46,2,1,0,1,0,3,,bartoda02
60,Chris Basak,28,NYY,AL,0.0,5,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-142,0,0,0,0,0,0,/5H6,,basakch01
61,Miguel Batista,36,SEA,AL,-0.1,3,6,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,1,,batismi01
62,Tony Batista,33,WSN,NL,-0.2,80,118,101,10,26,3,0,2,16,0,0,12,14,.257,.347,.347,.694,86,.306,78,35,4,3,0,2,3,H3/5,,batisto01
63,Denny Bautista,26,COL,NL,0.0,9,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-150,0,0,0,0,0,0,/1,,bautide01
64,José Bautista,26,PIT,NL,-0.6,142,614,532,75,135,36,2,15,63,6,3,68,101,.254,.339,.414,.753,96,.335,96,220,16,4,4,6,1,*59/87H,,bautijo02
65,Jason Bay,28,PIT,NL,-0.3,145,614,538,78,133,25,2,21,84,4,1,59,141,.247,.327,.418,.746,94,.336,96,225,8,9,0,8,3,*7/HD,,bayja01
66,Jonah Bayliss,26,PIT,NL,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,baylijo01
67,Yorman Bazardo,22,DET,AL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bazaryo01
68,Josh Beckett,27,BOS,AL,0.0,3,11,11,1,2,1,0,0,1,0,0,0,1,.182,.182,.273,.455,15,.197,-7,3,0,0,0,0,0,1,ASCYA-2MVP-22,beckejo02
