,xba,barrel_batted_rate,player_age,WAR,k_percent,bb_percent,on_base_plus_slg
count,2570.0,2570.0,2570.0,2570.0,2570.0,2570.0,2570.0
mean,0.25137392996108954,7.631945525291828,28.28443579766537,2.026536964980545,21.245136186770427,8.580778210116732,0.756988326848249
std,0.024973864527198943,4.130566935941143,3.6747419062860662,1.9722688374216013,5.921101342351546,3.077618601572606,0.09434490208154313
min,0.149,0.0,19.0,-3.3,5.3,1.5,0.47
25%,0.235,4.625,26.0,0.6,16.9,6.4,0.695
50%,0.251,7.2,28.0,1.7,21.05,8.3,0.75
75%,0.267,10.2,31.0,3.1,25.1,10.4,0.811
max,0.357,27.5,42.0,10.8,43.9,23.2,1.185
