--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player▲,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player▲-additional
1,David Aardsma,24,CHC,NL,0.0,43,3,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-275,0,0,0,1,0,0,1,,aardsda01
2,Andy Abad*,33,CIN,NL,,5,5,3,0,0,0,0,0,0,0,0,2,0,.000,.400,.000,.400,15,.284,52,0,0,0,0,0,0,/H,,abadan01
3,Reggie Abercrombie,25,FLA,NL,-0.7,111,281,255,39,54,12,2,5,24,6,5,18,78,.212,.271,.333,.604,58,.280,61,85,2,3,4,1,2,8H9/7,,abercre01
4,Bobby Abreu*,32,2TM,2LG,3.9,156,686,548,98,163,41,2,15,107,30,6,124,138,.297,.424,.462,.886,126,.401,132,253,13,3,2,9,6,*9/8DH,,abreubo01
5,Jeremy Accardo,24,SFG,NL,-0.1,36,5,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-144,0,0,0,0,0,0,1,,accarje01
6,Mike Adams,27,MIL,NL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,adamsmi03
7,Russ Adams*,25,TOR,AL,-1.1,90,280,251,31,55,14,1,3,28,1,2,22,41,.219,.282,.319,.600,56,.273,50,80,5,1,3,3,0,46H/D,,adamsru01
8,Jon Adkins*,28,SDP,NL,0.0,51,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-142,0,0,0,0,0,0,1,,adkinjo01
9,Jeremy Affeldt*,27,2TM,2LG,-0.1,30,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-146,0,0,0,0,0,0,1,,affelje01
10,Chris Aguila,27,FLA,NL,-0.3,47,104,95,5,22,8,1,0,7,2,1,9,26,.232,.298,.337,.635,67,.280,58,32,2,0,0,0,1,9H7/8D,,aguilch01
