--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player▲,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player▲-additional
1,Andy Abad*,28,OAK,AL,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-142,0,0,0,0,0,0,/3H,,abadan01
2,Jeff Abbott,28,FLA,NL,0.0,28,46,42,5,11,3,0,0,5,0,0,3,7,.262,.326,.333,.659,75,.298,71,14,1,1,0,0,0,H/897,,abbotje01
3,Kurt Abbott,32,ATL,NL,0.2,6,9,9,0,2,0,0,0,0,1,0,0,3,.222,.222,.222,.444,15,.325,64,2,0,0,0,0,0,/H46,,abbotku01
4,Paul Abbott,33,SEA,AL,0.0,2,5,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,37,.223,4,1,0,0,1,0,0,1,,abbotpa01
5,Brent Abernathy,23,TBD,AL,1.2,79,335,304,43,82,17,1,5,33,8,3,27,35,.270,.328,.382,.710,90,.328,94,116,3,0,3,1,1,4/H,,abernbr01
6,Bobby Abreu*,27,PHI,NL,5.2,162,704,588,118,170,48,4,31,110,36,14,106,137,.289,.393,.543,.936,142,.402,143,319,13,1,0,9,11,*9/H,MVP-16,abreubo01
7,José Acevedo,23,CIN,NL,-0.2,18,36,34,1,4,1,0,0,1,0,0,0,18,.118,.118,.147,.265,-33,.115,-78,5,0,0,2,0,0,1,,acevejo01
8,Juan Acevedo,31,2TM,NL,0.1,56,4,3,1,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,154,.414,172,2,0,0,1,0,0,1,,aceveju01
9,Terry Adams,28,LAD,NL,-0.2,41,48,39,2,2,1,0,0,1,0,0,3,19,.051,.116,.077,.193,-46,.120,-69,3,0,0,5,1,0,1,,adamste01
10,Benny Agbayani,29,NYM,NL,-0.9,91,339,296,28,82,14,2,6,27,4,5,36,73,.277,.364,.399,.763,102,.341,106,118,11,5,1,1,0,7/H,,agbaybe01
11,Kurt Ainsworth,22,SFG,NL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,ainswku01
12,Israel Alcántara,28,BOS,AL,-0.3,14,41,38,3,10,1,0,0,3,1,0,3,13,.263,.317,.289,.607,62,.284,55,11,3,0,0,0,0,/739HD,,alcanis01
13,Cory Aldridge*,22,ATL,NL,-0.2,8,5,5,1,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,.000,-147,0,0,0,0,0,0,/H978,,aldrico01
14,Antonio Alfonseca,29,FLA,NL,0.0,54,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,alfonan01
