"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_game","b_hit_by_pitch","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","fast_swing_rate","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Altuve, Jose",514888,2020,30,192,210,42,28,9,0,5,39,17,18.6,8.1,".219",".344",".286","0.630","0.125",".250","18","48","1",".230",".349",".278",".288",".296",".119",".299",".313",".275",".289","-0.011","-0.005","-0.010",,24.8,4.6,33.3,"97.480630811","92.777053741",20.2,50
"Rizzo, Anthony",519203,2020,30,203,243,45,28,6,0,11,38,28,15.6,11.5,".222",".414",".342","0.756","0.192",".218","24","58","10",".266",".413",".326",".355",".383",".147",".323",".364",".269",".329","-0.044",".001","-0.029",,34.7,7.8,34.7,"99.57215061","93.849255427",19.3,42.5
"Betts, Mookie",605141,2020,27,219,246,64,38,9,1,16,38,24,15.4,9.8,".292",".562",".366","0.928","0.270",".289","39","55","2",".283",".485",".390",".362",".359",".202",".428",".392",".352",".342",".009",".077",".028",,40.1,7.7,43.4,"99.966803556","94.311948056",13.8,40.5
"Crawford, J.P.",641487,2020,25,204,232,52,41,7,2,2,39,23,16.8,9.9,".255",".338",".336","0.674","0.083",".303","24","53","3",".257",".360",".303",".318",".343",".103",".311",".333",".311",".320","-0.002","-0.022","-0.015",,34.1,1.8,31.1,"97.315126098","92.657563049",18.2,41.1
"Profar, Jurickson",595777,2020,27,180,202,50,37,6,0,7,28,15,13.9,7.4,".278",".428",".343","0.771","0.150",".293","25","56","4",".282",".411",".335",".338",".350",".129",".350",".354",".325",".334","-0.004",".017","-0.003",,35.5,3.2,27.7,"96.940536711","92.4870825",20.1,47.1
"Cronenworth, Jake",630105,2020,26,172,192,49,27,15,3,4,30,18,15.6,9.4,".285",".477",".354","0.831","0.192",".324","20","54","1",".317",".535",".356",".393",".383",".218",".385",".435",".343",".382","-0.032","-0.058","-0.037",,37.8,10.5,42.7,"99.954348592","94.317753732",16.7,39.8
"Abreu, José",547989,2020,33,240,262,76,42,15,0,19,59,18,22.5,6.9,".317",".617",".370","0.987","0.300",".350","60","60","3",".299",".587",".411",".399",".357",".288",".512",".494",".418",".399",".018",".030",".012",,37.4,14.3,53.3,"104.315308571","96.898123022",30.1,48.5
"Edman, Tommy",669242,2020,25,204,227,51,38,7,1,5,48,16,21.1,7,".250",".368",".317","0.685","0.118",".301","26","55","5",".266",".367",".302",".315",".334",".102",".340",".359",".323",".347","-0.016",".001","-0.013",,31,3.8,33.5,"98.038288205","93.038931538",19,42.7
"Yelich, Christian",592885,2020,28,200,247,41,21,7,1,12,76,46,30.8,18.6,".205",".430",".356","0.786","0.225",".259","22","58","1",".250",".473",".343",".378",".394",".223",".423",".494",".331",".406","-0.045","-0.043","-0.035",,32.3,12.1,55.6,"103.843596557","97.02065123",33.6,34.6
"Alonso, Pete",624413,2020,25,208,239,48,26,6,0,16,61,24,25.5,10,".231",".490",".326","0.816","0.259",".242","35","57","6",".225",".463",".342",".334",".323",".238",".419",".407",".324",".319",".006",".027",".008",,30.4,12.8,41.2,"102.386786986","95.44273469",30.4,46.1
"Martinez, J.D.",502110,2020,32,211,237,45,22,16,0,7,59,22,24.9,9.3,".213",".389",".291","0.680","0.176",".259","27","54","2",".229",".443",".290",".318",".306",".214",".345",".387",".292",".315","-0.016","-0.054","-0.028",,39.6,11,41.6,"99.85455974","94.246308758",28.1,51.9
"Yastrzemski, Mike",573262,2020,29,192,225,57,29,14,4,10,55,30,24.4,13.3,".297",".568",".400","0.968","0.271",".370","35","54","3",".251",".488",".407",".364",".360",".238",".503",".434",".416",".351",".046",".080",".043",,35,10.9,42.3,"99.26844913","93.715521022",24.7,39.1
"Acuña Jr., Ronald",660670,2020,22,160,202,40,15,11,0,14,60,38,29.7,18.8,".250",".581",".406","0.987","0.331",".302","29","46","4",".256",".594",".413",".422",".411",".339",".546",".565",".400",".410","-0.006","-0.013","-0.009",,34,16,56,"105.3485436","97.591202626",29.9,40.5
"Sanó, Miguel",593934,2020,27,186,205,38,13,12,0,13,90,18,43.9,8.8,".204",".478",".278","0.756","0.274",".301","25","53","1",".215",".483",".317",".326",".288",".267",".542",".564",".396",".419","-0.011","-0.005","-0.009",,31.3,22.9,57.3,"107.128241875","98.788112737",42.6,47.3
"Votto, Joey",458015,2020,36,186,223,42,23,8,0,11,43,37,19.3,16.6,".226",".446",".354","0.800","0.220",".235","22","54","0",".253",".478",".347",".369",".377",".225",".363",".397",".294",".329","-0.027","-0.032","-0.022",,36.4,9.1,35.7,"98.39738875","93.296095944",22.5,36.2
"Suárez, Eugenio",553993,2020,28,198,231,40,17,8,0,15,67,30,29,13,".202",".470",".312","0.782","0.268",".214","38","57","2",".216",".472",".332",".342",".325",".255",".414",".431",".303",".326","-0.014","-0.002","-0.010",,29.5,14.4,44.7,"101.191154545","94.886730076",31.7,41.7
