--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player▲,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player▲-additional
1,David Aardsma,22,SFG,NL,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,aardsda01
2,Paul Abbott,36,PHI,NL,0.0,8,14,11,1,2,0,0,0,2,0,0,0,4,.182,.182,.182,.364,-7,.165,-71,2,0,0,3,0,0,1,,abbotpa01
3,Bobby Abreu*,30,PHI,NL,6.6,159,713,574,118,173,47,1,30,105,40,5,127,116,.301,.428,.544,.971,145,.432,152,312,5,5,0,7,10,*9/H,ASMVP-23SS,abreubo01
4,José Acevedo,26,CIN,NL,-0.4,38,52,43,0,2,0,0,0,1,0,0,3,26,.047,.106,.047,.153,-58,.084,-105,2,1,0,5,1,0,1,,acevejo01
5,Mike Adams,25,MIL,NL,0.0,43,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,adamsmi03
6,Russ Adams*,23,TOR,AL,0.6,22,78,72,10,22,2,1,4,10,1,0,5,5,.306,.359,.528,.887,124,.442,161,38,3,1,0,0,0,6/H,,adamsru01
7,Terry Adams,31,TOR,AL,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,adamste01
8,Jon Adkins*,26,CHW,AL,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,adkinjo01
9,Jeremy Affeldt*,25,KCR,AL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,affelje01
10,Chris Aguila,25,FLA,NL,0.0,29,48,45,10,10,2,1,3,5,0,0,2,12,.222,.255,.511,.766,96,.319,86,23,0,0,1,0,0,9H/7,,aguilch01
11,Manny Alexander,33,TEX,AL,-0.1,21,22,21,3,5,2,0,0,3,0,0,1,7,.238,.273,.333,.606,52,.307,66,7,0,0,0,0,0,4/6H5,,alexama02
12,Jason Alfaro,26,HOU,NL,-0.2,7,12,11,1,2,0,0,0,0,0,0,0,5,.182,.182,.182,.364,-6,.165,-43,2,1,0,1,0,0,/H6,,alfarja01
13,Antonio Alfonseca,32,ATL,NL,0.0,76,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-142,0,0,0,0,0,0,1,,alfonan01
14,Edgardo Alfonzo,30,SFG,NL,0.6,139,576,519,66,150,26,1,11,77,1,1,46,40,.289,.350,.407,.757,95,.345,100,211,15,5,2,4,2,*5/H4,,alfoned01
15,Chad Allen,29,TEX,AL,-0.4,20,63,58,4,14,4,1,0,6,0,1,2,13,.241,.262,.345,.607,52,.253,33,20,1,0,2,1,0,7/DH9,,allench01
16,Armando Almanza*,31,ATL,NL,0.0,11,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,1,0,0,1,,almanar01
17,Carlos Almánzar,30,TEX,AL,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,almanca01
18,Roberto Alomar#,36,2TM,2LG,-0.7,56,190,171,18,45,6,2,4,24,0,2,14,31,.263,.321,.392,.713,81,.312,76,67,4,1,3,1,0,4H/D,,alomaro01
19,Sandy Alomar,38,CHW,AL,0.0,50,164,146,15,35,4,0,2,14,0,0,11,13,.240,.298,.308,.606,58,.294,61,45,4,2,3,2,2,2/DH,,alomasa02
20,Moisés Alou,37,CHC,NL,4.0,155,675,601,106,176,36,3,39,106,3,0,68,80,.293,.361,.557,.919,132,.401,138,335,12,0,0,6,2,*7/DH,ASMVP-14,aloumo01
21,Tony Álvarez,25,PIT,NL,-0.3,24,45,38,5,8,2,0,1,8,0,0,4,7,.211,.289,.342,.631,64,.280,54,13,1,1,0,2,0,H/987,,alvarto01
22,Wilson Álvarez*,34,LAD,NL,-0.1,39,34,31,4,5,0,0,0,0,0,0,1,14,.161,.188,.161,.349,-6,.164,-33,5,2,0,2,0,0,1,,alvarwi01
23,Alfredo Amézaga#,26,ANA,AL,-0.4,73,105,93,12,15,2,0,2,11,3,2,3,24,.161,.212,.247,.459,21,.210,7,23,2,3,6,0,0,654H/D,,amezaal01
24,Brian Anderson#,32,KCR,AL,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-362,0,0,0,1,0,0,1,,anderbr02
25,Garret Anderson*,32,ANA,AL,2.0,112,475,442,57,133,20,1,14,75,2,1,29,75,.301,.343,.446,.789,107,.352,108,197,3,1,0,3,6,8D/H,,anderga01
26,Jimmy Anderson*,28,2TM,2LG,0.0,7,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-142,0,0,0,0,0,0,1,,anderji02
27,Marlon Anderson*,30,STL,NL,-0.9,113,271,253,31,60,12,0,8,28,6,2,12,38,.237,.269,.379,.649,66,.291,62,96,5,1,0,5,1,H479/3D,,anderma02
28,Rick Ankiel*,24,STL,NL,0.0,5,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,47,.354,109,0,0,0,0,0,0,/1,,ankieri01
29,Greg Aquino,26,ARI,NL,0.0,34,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-150,0,0,0,0,0,0,1,,aquingr01
30,Danny Ardoin,29,TEX,AL,-0.2,6,11,8,1,1,0,0,0,1,0,0,3,2,.125,.364,.125,.489,32,.279,47,1,0,0,0,0,0,/2,,ardoida01
31,Tony Armas,26,MON,NL,-0.3,15,21,16,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,.000,-231,0,0,0,5,0,0,1,,armasto02
32,Bronson Arroyo,27,BOS,AL,-0.1,3,7,6,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,.000,-187,0,0,0,1,0,0,1,,arroybr01
33,Andy Ashby,36,SDP,NL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,ashbyan01
34,Garrett Atkins,24,COL,NL,0.3,15,33,28,3,10,2,0,1,8,0,0,4,3,.357,.424,.536,.960,135,.414,138,15,0,0,0,1,0,/H537,,atkinga01
35,Rich Aurilia,32,2TM,2LG,0.4,124,450,399,49,98,21,2,6,44,1,0,37,71,.246,.314,.353,.667,78,.308,79,141,12,4,7,3,1,65H/43,,aurilri01
36,Brad Ausmus,35,HOU,NL,-0.1,129,448,403,38,100,14,1,5,31,2,2,33,56,.248,.306,.325,.631,63,.289,58,131,13,2,7,3,11,*2/H,,ausmubr01
37,Luis Ayala,26,MON,NL,0.1,79,10,9,0,3,1,0,0,0,0,0,0,3,.333,.333,.444,.778,96,.340,92,4,0,0,1,0,0,1,,ayalalu01
38,Brandon Backe,26,HOU,NL,0.4,34,21,16,3,5,0,0,1,6,0,0,1,8,.313,.389,.500,.889,127,.387,135,8,0,1,3,0,0,1/H,,backebr01
39,Carlos Baerga#,35,ARI,NL,-0.4,79,94,85,6,20,2,0,2,11,0,0,6,12,.235,.309,.329,.638,62,.289,55,28,7,3,0,0,0,H/3D,,baergca01
40,Danys Báez,26,TBD,AL,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,baezda01
41,Jeff Bagwell,36,HOU,NL,3.7,156,679,572,104,152,29,2,27,89,6,4,96,131,.266,.377,.465,.842,116,.379,125,266,12,8,0,3,6,*3/DH,,bagweje01
